@T,table,,,,
Created,2018-11-09 16:31,,,,
Author,HortonMachine library,,,,
@H,timestamp,value_1,value_1,val_1,val_1
ID,,1,1,1,1
Type,Date,Double,Double,,
Format,yyyy-MM-dd HH:mm,LeafTemperature Sun,LeafTemperature Shadow,Air Temperature (°C),Air Temperature (K)
,2018-08-20 05:00,288.9737494971,289.475,16.475,289.475
,2018-08-20 06:00,295.0071949946,289.7547349141,16.65,289.65
,2018-08-20 07:00,298.5017832279,290.8249989867,17.65,290.65
,2018-08-20 08:00,306.1002195655,295.4604934944,23.04,296.04
,2018-08-20 09:00,298.7150757795,288.0722417557,-9999,-9726
,2018-08-20 10:00,299.1296050521,288.2307637132,-9999,-9726
,2018-08-20 11:00,297.4893068098,288.2091967613,-9999,-9726
,2018-08-20 12:00,297.5172640299,288.2460099162,-9999,-9726
,2018-08-20 13:00,296.8118394139,288.1744527639,-9999,-9726
,2018-08-20 14:00,292.7784156198,287.7791488432,-9999,-9726
,2018-08-20 15:00,288.9430640954,287.3362996611,-9999,-9726
,2018-08-20 16:00,295.0075773678,287.7588082174,-9999,-9726
,2018-08-20 17:00,293.6824489635,287.5202945807,-9999,-9726
,2018-08-20 18:00,292.4502628538,287.5156283897,-9999,-9726
,2018-08-20 19:00,287.5691828637,287.1218487121,-9999,-9726
,2018-08-20 20:00,287.1312245609,288,-9999,-9726
,2018-08-20 21:00,287.1196017184,288,-9999,-9726
,2018-08-20 22:00,287.1263708213,288,-9999,-9726
,2018-08-20 23:00,287.2138322099,288,-9999,-9726
,2018-08-21 00:00,287.1196017184,288,-9999,-9726
,2018-08-21 01:00,287.1212476534,288,-9999,-9726
,2018-08-21 02:00,287.1256963078,288,-9999,-9726
,2018-08-21 03:00,287.1189957513,288,-9999,-9726
,2018-08-21 04:00,287.135527746,288,-9999,-9726
,2018-08-21 05:00,287.1240422034,288,-9999,-9726
,2018-08-21 06:00,297.378489856,287.2773544381,-9999,-9726
,2018-08-21 07:00,300.2652819263,287.7003491799,-9999,-9726
,2018-08-21 08:00,304.2268684348,288.135583584,-9999,-9726
,2018-08-21 09:00,300.7608723929,288.1570181995,-9999,-9726
,2018-08-21 10:00,298.5601180274,288.1428975892,-9999,-9726
,2018-08-21 11:00,293.8275924124,287.8633324633,-9999,-9726
,2018-08-21 12:00,289.4726223864,287.4470810051,-9999,-9726
,2018-08-21 13:00,289.7486278282,287.4049947421,-9999,-9726
,2018-08-21 14:00,298.4052382318,288.1508462996,-9999,-9726
,2018-08-21 15:00,300.2977731292,288.2078907403,-9999,-9726
,2018-08-21 16:00,295.7079058389,287.7271970996,-9999,-9726
,2018-08-21 17:00,290.2079237572,287.2788840278,-9999,-9726
,2018-08-21 18:00,288.211170198,287.1563424832,-9999,-9726
,2018-08-21 19:00,287.2106768888,287.1195122686,-9999,-9726
,2018-08-21 20:00,287.2115961955,288,-9999,-9726
,2018-08-21 21:00,287.147969631,288,-9999,-9726
,2018-08-21 22:00,287.147969631,288,-9999,-9726
,2018-08-21 23:00,287.1825075715,288,-9999,-9726
,2018-08-22 00:00,287.147969631,288,-9999,-9726
,2018-08-22 01:00,287.1312245609,288,-9999,-9726
,2018-08-22 02:00,287.147969631,288,-9999,-9726
,2018-08-22 03:00,287.2657773399,288,-9999,-9726
,2018-08-22 04:00,287.2138322099,288,-9999,-9726
,2018-08-22 05:00,287.1263708213,288,-9999,-9726
,2018-08-22 06:00,293.874599342,287.2029270333,-9999,-9726
,2018-08-22 07:00,294.0760871397,287.3762792805,-9999,-9726
,2018-08-22 08:00,300.1212029164,287.8915478373,-9999,-9726
,2018-08-22 09:00,295.7180402126,287.8417910146,-9999,-9726
,2018-08-22 10:00,292.9059171744,287.7263148897,-9999,-9726
,2018-08-22 11:00,294.4439747984,287.892155649,-9999,-9726
,2018-08-22 12:00,297.0061389272,288.1420284069,-9999,-9726
,2018-08-22 13:00,296.161104875,288.0803784075,-9999,-9726
,2018-08-22 14:00,294.1439290723,287.8715582896,-9999,-9726
,2018-08-22 15:00,294.9242171959,287.9060884249,-9999,-9726
,2018-08-22 16:00,296.5350523428,287.8137253433,-9999,-9726
,2018-08-22 17:00,291.166087481,287.3344919267,-9999,-9726
,2018-08-22 18:00,289.3288066271,287.2001814026,-9999,-9726
,2018-08-22 19:00,287.2325787132,287.1275728144,-9999,-9726
,2018-08-22 20:00,287.135527746,288,-9999,-9726
,2018-08-22 21:00,287.1189957513,288,-9999,-9726
,2018-08-22 22:00,287.1190223904,288,-9999,-9726
,2018-08-22 23:00,287.16199967,288,-9999,-9726
,2018-08-23 00:00,287.1274818179,288,-9999,-9726
,2018-08-23 01:00,287.1825075715,288,-9999,-9726
,2018-08-23 02:00,287.1230464642,288,-9999,-9726
,2018-08-23 03:00,287.122547783,288,-9999,-9726
,2018-08-23 04:00,287.1274818179,288,-9999,-9726
,2018-08-23 05:00,287.1208784961,288,-9999,-9726
,2018-08-23 06:00,310.3105303595,287.5342022071,-9999,-9726
,2018-08-23 07:00,298.7206674053,287.5407527077,-9999,-9726
,2018-08-23 08:00,295.198775004,287.6557165432,-9999,-9726
,2018-08-23 09:00,293.1324246141,287.6824564474,-9999,-9726
,2018-08-23 10:00,298.5636594758,288.1571676639,-9999,-9726
,2018-08-23 11:00,296.5484525607,288.0912554348,-9999,-9726
,2018-08-23 12:00,296.1225991648,288.1181563746,-9999,-9726
,2018-08-23 13:00,290.2224315012,287.5168443597,-9999,-9726
,2018-08-23 14:00,298.5283952864,288.1730575451,-9999,-9726
,2018-08-23 15:00,296.2910824556,287.9261610195,-9999,-9726
,2018-08-23 16:00,291.6613703519,287.4624790889,-9999,-9726
,2018-08-23 17:00,290.6332736391,287.3477025023,-9999,-9726
,2018-08-23 18:00,289.7563629537,287.258145688,-9999,-9726
,2018-08-23 19:00,287.1212476534,288,-9999,-9726
,2018-08-23 20:00,287.1256963078,288,-9999,-9726
,2018-08-23 21:00,287.1196017184,288,-9999,-9726
,2018-08-23 22:00,287.1381500483,288,-9999,-9726
,2018-08-23 23:00,287.1189957513,288,-9999,-9726
,2018-08-24 00:00,287.1230464642,288,-9999,-9726
,2018-08-24 01:00,287.1263708213,288,-9999,-9726
,2018-08-24 02:00,287.1256963078,288,-9999,-9726
,2018-08-24 03:00,287.1256963078,288,-9999,-9726
,2018-08-24 04:00,287.122547783,288,-9999,-9726
,2018-08-24 05:00,287.1263708213,288,-9999,-9726
,2018-08-24 06:00,294.5418723306,287.2303748853,-9999,-9726
,2018-08-24 07:00,295.0868751865,287.4328619494,-9999,-9726
,2018-08-24 08:00,297.9996241961,287.752097994,-9999,-9726
,2018-08-24 09:00,298.3745203079,287.9515571961,-9999,-9726
,2018-08-24 10:00,296.5719756163,287.9762959722,-9999,-9726
,2018-08-24 11:00,294.4142732324,287.9260657013,-9999,-9726
,2018-08-24 12:00,301.765872657,297.6699184057,25.7090909091,298.7090909091
,2018-08-24 13:00,292.8422882312,291.828811217,18.6333333333,291.6333333333
,2018-08-24 14:00,303.1056662107,294.1180540429,20.5,293.5
,2018-08-24 15:00,297.9967046071,293.3434733193,19.9,292.9
,2018-08-24 16:00,302.4044816185,294.0661734208,20.425,293.425
,2018-08-24 17:00,297.3330615418,293.0193969599,19.6833333333,292.6833333333
,2018-08-24 18:00,293.4898343464,291.9842169935,19.0166666667,292.0166666667
,2018-08-24 19:00,290.7698398513,290.8,17.8,290.8
,2018-08-24 20:00,291.0061332265,291,18,291
,2018-08-24 21:00,290.7278393453,290.725,17.725,290.725
,2018-08-24 22:00,289.6744625753,289.6916666667,16.6916666667,289.6916666667
,2018-08-24 23:00,289.1820366288,289.1666666667,16.1666666667,289.1666666667
,2018-08-25 00:00,288.8770923059,288.85,15.85,288.85
,2018-08-25 01:00,288.9937069389,288.9583333333,15.9583333333,288.9583333333
,2018-08-25 02:00,288.8704833988,288.8666666667,15.8666666667,288.8666666667
,2018-08-25 03:00,288.4918066677,288.4666666667,15.4666666667,288.4666666667
,2018-08-25 04:00,288.2294870222,288.2,15.2,288.2
,2018-08-25 05:00,288.0199466651,288.0083333333,15.0083333333,288.0083333333
,2018-08-25 06:00,294.4980440359,288.4358477137,14.85,287.85
,2018-08-25 07:00,296.3595274455,289.2519694317,15.2833333333,288.2833333333
,2018-08-25 08:00,295.4364113057,290.0130943384,15.9416666667,288.9416666667
,2018-08-25 09:00,297.0374578477,291.0005140956,16.95,289.95
,2018-08-25 10:00,298.4579060578,291.8818712935,18.1833333333,291.1833333333
,2018-08-25 11:00,297.6324962215,293.1545040424,20.1583333333,293.1583333333
